what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429726352512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726356311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726358714
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429726364267
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429726376514
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429726376515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429726377944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726454785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726467855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726468658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726492744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726497273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726614445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1429726614460
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1429726617478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726617726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726629073
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429726634834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726638329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429726641374
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429726644748
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1429726650312
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429726651161
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429726651213
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429726661952
