what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1429892410642
processors,sysinfo,,,"4",1429892410642
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429892410642
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1429892410642
java.specification.name,sysinfo,,,"Java Platform API Specification",1429892410642
java.specification.vendor,sysinfo,,,"Oracle Corporation",1429892410642
java.specification.version,sysinfo,,,"1.7",1429892410642
java.vendor,sysinfo,,,"Oracle Corporation",1429892410642
java.version,sysinfo,,,"1.7.0_79",1429892410642
java.vm.info,sysinfo,,,"mixed mode",1429892410642
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429892410642
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429892410642
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429892410642
java.vm.specification.version,sysinfo,,,"1.7",1429892410642
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429892410642
java.vm.version,sysinfo,,,"24.79-b02",1429892410642
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429892414119
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1429892414127
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1429892414133
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1429892414271
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1429892414272
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1429892414273
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1429892414274
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1429892414274
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1429892415722
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1429892416177
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1429892416182
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1429892416183
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1429892416194
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1429892416244
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1429892416257
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1429892416305
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1429892416367
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1429892416378
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1429892416385
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429892420453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1429892445581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1429892456511
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1429892457407
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1429892457409
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1429892457412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1429892462413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892708976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892725463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429892737677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892742317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892749623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892751082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892752694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892754101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892762909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429892773648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429892788202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429892789561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892798793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892801305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892802677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892809699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429892814455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892816563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892825796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429892829044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429892839506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892843070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429892843283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1429893167290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429893181358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429894195345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429894197071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429894210383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429894212615
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1429894230101
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1429894230102
