what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429897966341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429897975970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429897995959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429897997212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429897997949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429897999478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429898000915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429898001432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898023533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898029759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429898041817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898093612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898095977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898121402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898126969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898126975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898128107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429898140441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429898143037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898146504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898151551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898159493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898162000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898172900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898181189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898201014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898206698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898214312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898217802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898237429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898246396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429898249631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429898252042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898271261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898275278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898326627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898329157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898418809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898522373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898537356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429898548400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429898552057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429898555297
